Черный;46;0.05019916%
крикнул;46;0.05019916%
увидел;46;0.05019916%
А;46;0.05019916%
закричал;45;0.049107872%
смог;45;0.049107872%
землю;45;0.049107872%
начали;44;0.04801659%
очень;44;0.04801659%
почувствовал;44;0.04801659%
посмотрела;44;0.04801659%
лошади;44;0.04801659%
слишком;44;0.04801659%
сейчас;44;0.04801659%
Возможно;44;0.04801659%
нему;44;0.04801659%
Пока;44;0.04801659%
тем;44;0.04801659%
герои;43;0.046925303%
найти;43;0.046925303%
лошадь;43;0.046925303%
нужно;43;0.046925303%
понял;43;0.046925303%
света;43;0.046925303%
вниз;43;0.046925303%
стал;43;0.046925303%
комнате;42;0.045834016%
нам;42;0.045834016%
силы;42;0.045834016%
богов;42;0.045834016%
начал;42;0.045834016%
ноги;42;0.045834016%
бросился;42;0.045834016%
отряд;42;0.045834016%
часть;41;0.04474273%
видел;41;0.04474273%
заклинания;41;0.04474273%
времени;41;0.04474273%
дороге;41;0.04474273%
без;41;0.04474273%
можно;41;0.04474273%
лице;41;0.04474273%
Арабеля;40;0.043651443%
Тогда;40;0.043651443%
Шедоудейла;40;0.043651443%
казалось;39;0.042560156%
тому;39;0.042560156%
Морнгрим;39;0.042560156%
вор;39;0.042560156%
могли;39;0.042560156%
достаточно;39;0.042560156%
Келемвору;39;0.042560156%
кулон;39;0.042560156%
сделать;39;0.042560156%
сам;38;0.04146887%
рук;38;0.04146887%
вскоре;38;0.04146887%
никогда;38;0.04146887%
полностью;38;0.04146887%
чародейка;38;0.04146887%
Адону;38;0.04146887%
могу;38;0.04146887%
эти;38;0.04146887%
К;38;0.04146887%
Нет;37;0.040377583%
конце;37;0.040377583%
Зентил;37;0.040377583%
слегка;37;0.040377583%
одного;37;0.040377583%
думаю;37;0.040377583%
вверх;37;0.040377583%
мере;37;0.040377583%
кивнул;37;0.040377583%
храма;37;0.040377583%
сразу;36;0.0392863%
своими;36;0.0392863%
женщина;36;0.0392863%
Богиня;36;0.0392863%
стороны;36;0.0392863%
теперь;36;0.0392863%
пути;36;0.0392863%
можешь;36;0.0392863%
мгновение;36;0.0392863%
Мирмин;36;0.0392863%
возможно;36;0.0392863%
вы;36;0.0392863%
Повелителя;35;0.038195014%
заметила;35;0.038195014%
Теперь;35;0.038195014%
боги;35;0.038195014%
эту;35;0.038195014%
Эльминстера;35;0.038195014%
стали;35;0.038195014%
стала;35;0.038195014%
По;35;0.038195014%
этим;34;0.037103727%
услышал;34;0.037103727%
между;34;0.037103727%
должно;34;0.037103727%
