и,3176,0.03480166557089634
в,1905,0.020874424720578568
на,1475,0.01616261231645847
не,1363,0.014935349550734165
что,1073,0.01175761560376945
его,1031,0.011297392066622836
с,934,0.010234494849879466
он,837,0.009171597633136094
Миднайт,741,0.00811965811965812
Келемвор,659,0.007221126451895683
из,639,0.007001972386587771
к,610,0.0066841989918913
как,517,0.005665132588209511
ее,468,0.005128205128205128
она,455,0.004985754985754986
сказал,449,0.0049200087661626125
за,446,0.0048871356563664255
Сайрик,441,0.004832347140039448
был,432,0.004733727810650888
то,429,0.004700854700854701
от,423,0.0046351084812623275
Я,407,0.004459785229015998
все,406,0.004448827525750603
Адон,386,0.0042296734604426916
чтобы,381,0.004174884944115713
было,361,0.003955730878807802
это,344,0.003769449923296077
их,340,0.003725619110234495
но,340,0.003725619110234495
я,334,0.0036598728906421215
они,312,0.003418803418803419
были,305,0.00334209949594565
по,305,0.00334209949594565
Он,301,0.0032982686828840675
ты,290,0.003177733946964716
когда,277,0.0030352838045145736
Бэйн,258,0.002827087442472058
была,246,0.002695595003287311
о,246,0.002695595003287311
еще,233,0.0025531448608371687
же,220,0.002410694718387026
Ты,216,0.002366863905325444
Но,215,0.002355906202060048
у,215,0.002355906202060048
Затем,196,0.0021477098400175323
чем,192,0.00210387902695595
бы,191,0.0020929213236905546
которые,188,0.0020600482138943676
В,184,0.0020162174008327856
сказала,183,0.00200525969756739
Она,178,0.001950471181240412
лишь,176,0.0019285557747096209
него,176,0.0019285557747096209
так,169,0.001851851851851852
для,167,0.0018299364453210607
свою,166,0.0018189787420556651
до,164,0.001797063335524874
уже,161,0.0017641902257286872
свои,160,0.0017532325224632918
меня,157,0.001720359412667105
тебя,156,0.0017094017094017094
ему,151,0.0016546131930747316
Келемвора,148,0.0016217400832785449
который,148,0.0016217400832785449
словно,145,0.001588866973482358
а,142,0.0015559938636861713
свой,141,0.001545036160420776
даже,140,0.0015340784571553803
мы,140,0.0015340784571553803
Это,139,0.0015231207538899847
них,139,0.0015231207538899847
Мистра,137,0.0015012053473591935
затем,133,0.0014573745342976111
Когда,132,0.0014464168310322155
вновь,131,0.0014354591277668202
время,131,0.0014354591277668202
мне,131,0.0014354591277668202
себя,131,0.0014354591277668202
через,127,0.0013916283147052378
этого,125,0.0013697129081744466
Бэйна,123,0.0013477975016436554
пока,117,0.001282051282051282
посмотрел,117,0.001282051282051282
Сайрика,114,0.0012491781722550953
Эльминстер,114,0.0012491781722550953
Кайтлан,110,0.001205347359193513
если,109,0.0011943896559281175
рядом,109,0.0011943896559281175
того,109,0.0011943896559281175
со,108,0.001183431952662722
тебе,106,0.0011615165461319307
быть,105,0.0011505588428665351
или,105,0.0011505588428665351
И,102,0.0011176857330703486
перед,102,0.0011176857330703486
только,102,0.0011176857330703486
назад,101,0.001106728029804953
своих,101,0.001106728029804953
руки,100,0.0010957703265395574
человек,100,0.0010957703265395574
мог,99,0.0010848126232741618
Мы,98,0.0010738549200087662
ним,98,0.0010738549200087662
Они,97,0.0010628972167433706
глаза,94,0.0010300241069471838
своей,93,0.0010190664036817882
должен,92,0.0010081087004163928
произнес,92,0.0010081087004163928
нее,91,9.971509971509972E-4
один,90,9.861932938856016E-4
этом,89,9.75235590620206E-4
больше,88,9.642778873548104E-4
Его,87,9.533201840894148E-4
На,87,9.533201840894148E-4
Адона,86,9.423624808240192E-4
раз,86,9.423624808240192E-4
Внезапно,85,9.314047775586238E-4
своего,84,9.204470742932282E-4
где,83,9.094893710278326E-4
едва,83,9.094893710278326E-4
под,83,9.094893710278326E-4
заклинание,82,8.98531667762437E-4
кто,82,8.98531667762437E-4
почти,82,8.98531667762437E-4
прежде,82,8.98531667762437E-4
Если,81,8.875739644970414E-4
нас,81,8.875739644970414E-4
руку,81,8.875739644970414E-4
Повелитель,80,8.766162612316459E-4
людей,80,8.766162612316459E-4
во,79,8.656585579662503E-4
будет,78,8.547008547008547E-4
хотя,78,8.547008547008547E-4
Турбанд,77,8.437431514354591E-4
более,77,8.437431514354591E-4
должны,77,8.437431514354591E-4
свое,77,8.437431514354591E-4
знал,76,8.327854481700635E-4
У,75,8.21827744904668E-4
вокруг,75,8.21827744904668E-4
есть,75,8.21827744904668E-4
может,75,8.21827744904668E-4
ней,75,8.21827744904668E-4
вперед,74,8.108700416392724E-4
ей,74,8.108700416392724E-4
жрец,74,8.108700416392724E-4
взгляд,73,7.999123383738768E-4
несколько,73,7.999123383738768E-4
человека,73,7.999123383738768E-4
себе,71,7.779969318430856E-4
Что,70,7.670392285776902E-4
здесь,70,7.670392285776902E-4
над,70,7.670392285776902E-4
жизнь,69,7.560815253122946E-4
лицо,69,7.560815253122946E-4
Не,68,7.45123822046899E-4
головой,68,7.45123822046899E-4
нибудь,68,7.45123822046899E-4
которая,67,7.341661187815034E-4
сторону,67,7.341661187815034E-4
Мистры,66,7.232084155161078E-4
нет,66,7.232084155161078E-4
своим,66,7.232084155161078E-4
воина,65,7.122507122507123E-4
заметил,64,7.012930089853167E-4
тех,64,7.012930089853167E-4
Марек,63,6.903353057199211E-4
жреца,63,6.903353057199211E-4
том,63,6.903353057199211E-4
хотел,63,6.903353057199211E-4
этот,63,6.903353057199211E-4
Все,62,6.793776024545255E-4
Однако,62,6.793776024545255E-4
слова,62,6.793776024545255E-4
собой,62,6.793776024545255E-4
Как,61,6.684198991891299E-4
стоял,61,6.684198991891299E-4
Да,60,6.574621959237344E-4
всего,60,6.574621959237344E-4
ни,60,6.574621959237344E-4
Блэкторн,59,6.465044926583388E-4
меч,59,6.465044926583388E-4
